Bajra,3,18,30,3,8,350,750,L,L,M
Banana,4,15,35,6.5,8.5,450,750,M,VL,VL
Barley,4,12,32,3,8,800,1100,VL,VL,M
Bean,2,14,32,5.5,6.5,300,500,L,VL,M
Black pepper,6,23,33,5.5,6.5,1200,2500,H,VL,M
Blackgram,2,23,35,5,7,500,700,L,H,VL
Bottle Gourd,2,24,27,6.5,7.5,400,650,VL,VL,VL
Brinjal,3,15,32,5.5,6.5,600,1000,VL,L,M
Cabbage,4,12,30,5.5,6.5,300,600,M,VL,H
Cardamom,8,18,35,4.5,7,1200,4000,H,M,M
Carrot,4,7,23,5.5,7,750,1000,M,H,M
Castor seed,6,20,30,5,8.5,500,800,VL,H,VL
Cauliflower,4,12,30,6,7,100,300,M,M,M
Chillies,3,18,40,5.5,7,625,1500,VL,VL,L
Coriander,3,15,30,6,10,750,1000,L,L,M
Cotton,4,15,35,6,8,500,1100,M,VL,VL
Cowpea,5,22,35,5,7,700,1100,VL,VL,VL
Drum Stick,4,20,30,6,7,750,2000,M,L,H
Garlic,4,10,30,6,7,500,800,VL,M,H
Ginger,8,15,35,5,7,1200,1800,VL,M,VL
Gram,4,20,30,5,7,600,900,VL,VL,H
Grapes,4,15,35,6.5,8.5,650,850,VL,H,L
Groundnut,3,20,35,5,7,500,750,VL,VL,VL
Guar seed,3,25,35,7,8,100,300,L,L,L
Horse-gram,6,20,30,4.5,8.2,500,1000,M,M,VL
Jowar,3,18,32,6,7.5,400,1000,VL,M,M
Jute,4,24,38,6,7.5,200,600,H,L,L
Khesari,4,10,25,6,8,400,700,VL,M,M
Lady Finger,2,20,35,6,7,800,1200,VL,L,M
Lentil,3,15,25,6,8,500,750,L,M,M
Linseed,5,10,27,5,7,450,750,L,L,M
Maize,6,21,35,5.5,7.5,500,1000,VL,VL,VL
Mesta,4,20,35,4.5,7.8,600,900,M,VL,M
Moong(Green Gram),2,20,40,6.2,7.2,600,900,VL,L,VL
Moth,3,24,34,4,9,450,750,M,M,L
Onion,4,18,30,6,7.5,500,800,H,L,VL
Orange,4,15,30,6,8,400,700,VL,L,M
Papaya,12,20,30,6,7,1500,2500,VL,H,VL
Peas & beans (Pulses),3,15,30,6,7.5,300,600,M,M,VL
Potato,3,14,25,5.2,6.4,300,600,VL,VL,VL
Raddish,2,10,30,6,7.5,500,1000,VL,VL,VL
Ragi,4,20,30,5,7,700,1200,VL,M,VL
Rice,5,16,30,5,9,1000,2000,M,M,VL
Safflower,4,15,35,5,8,600,1000,M,M,L
Sannhamp,5,20,35,5.5,7,400,1000,VL,M,M
Sesamum,4,20,35,5.5,8,500,800,VL,L,M
Soyabean,4,22,35,6,7,450,700,M,M,M
Sugarcane,12,25,38,5,8.5,900,1800,VL,H,L
Sunflower,4,20,37,6,7.5,400,700,L,L,L
Sweet potato,5,15,30,5.5,6.5,750,1500,L,M,L
Tapioca,5,22,35,5,7,700,1500,L,M,L
Tomato,4,13,32,5.5,7.5,400,600,M,M,VL
Turmeric,8,15,35,4.5,7.5,1500,2000,M,VL,VL
Urad,3,25,35,5.5,7.5,600,1000,L,L,L
Varagu,4,20,35,5.5,6.5,1500,1800,VL,M,M
Wheat,3,20,33,5,6.8,600,900,VL,L,VL
